PDB_File,LigVol,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,FractionCSP3,NumHeteroatoms,HeavyAtomCount,NumAtoms,MolMR,BertzCT,NumCarbons,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
DB01430,434.7120000000001,477.5629999999998,4.257200000000002,69.21000000000001,2,7,10,3,0.2692307692307692,9,35,64,135.62939999999998,2257.0885587808666,26,0.3174539790160476,0.9439271951087947,0.00017809261957999834,0.3301536768446527,0.7520419878129218,4222.757740250478,9618.827072838052,12790.2793044992,5.280444100022948,0.16762215839397027
DB01431,315.8960000000001,300.48599999999936,5.256400000000006,20.23,1,1,4,0,0.8095238095238095,1,22,54,91.46680000000005,1730.461555399668,21,0.49449132208118207,0.9765442285701925,0.001207615163351173,0.21531690515667298,0.9540829352163357,790.0554449554303,3500.7860500235524,3669.2680696880493,3.639421896376753,0.3299618036414689
DB01433,357.6400000000001,353.5059999999995,4.654600000000005,29.54,0,3,13,2,0.43478260869565216,3,26,57,107.27500000000006,1776.4290361696078,23,0.046848225078971815,0.7291817384892004,0.0004399798345228014,0.6843200948780237,0.9023595667215877,2050.911191646498,2704.376720967779,2997.0056512984056,3.311324272515921,0.708576767520759
DB01434,269.4240000000001,272.3879999999997,3.697300000000003,34.14,0,2,1,0,0.7777777777777778,2,20,44,77.10000000000004,1438.2814012622903,18,0.5531652340040931,0.9835171336968503,0.0015585156802212755,0.18081495437250703,0.8891164897860389,570.4892809675188,2805.2515275336445,3155.1001019098335,3.4623866853621186,0.23447024698850866
DB01435,178.45600000000005,188.23000000000008,1.48442,26.93,0,3,3,2,0.18181818181818182,3,14,26,55.74700000000003,919.2823317057052,11,0.40000940145002906,0.962871452812403,0.002207175032860115,0.26996030330204557,0.7843573084067959,355.3670627518857,1032.5027399477883,1316.367845217164,2.6801741144051996,0.14320821072749673
DB01436,429.0640000000001,400.6469999999993,6.589800000000009,40.46,2,2,12,0,0.7777777777777778,2,29,73,122.57860000000008,2319.776373755386,27,0.6772631650033598,0.9922743905096433,0.0007873214692791913,0.1240626210375869,0.9752023992347305,1238.6330581427533,9736.356688017295,9983.934304978839,5.114327636392915,0.19484469910526064
DB01437,206.75200000000004,217.26800000000011,1.771,46.17,1,2,3,1,0.38461538461538464,3,16,31,60.794700000000034,955.0970200846261,13,0.1307669650070568,0.856003563347012,0.00120817849326067,0.5169699213080178,0.8353962077330506,691.4509837685134,1117.3484295024198,1337.507184207217,2.690838540186709,0.5216771599473351
DB01439,345.60800000000006,356.53499999999957,4.444200000000004,23.550000000000004,0,3,8,2,0.47619047619047616,4,25,53,106.25100000000005,1798.4361102885612,21,0.580281998299977,0.9855831126350323,0.0008112793256011405,0.16919198588775186,0.9525929498346243,1174.1861523819473,6610.959997210239,6939.963179821917,4.544260101662444,0.2742882123992635
DB01440,99.42400000000002,104.10499999999995,-0.15650000000000008,57.53,2,3,4,0,0.75,3,7,15,23.955599999999993,250.27133677530114,4,0.688912966280498,0.9930975316301694,0.014480294286467991,0.1172914859231681,0.9026843710891703,62.33881392401946,479.76434605244515,531.4862663165045,2.2707447599876,0.19101057561728269
DB01441,279.19200000000006,274.4079999999997,3.8378000000000023,28.259999999999998,1,2,11,2,0.5294117647058824,3,20,46,85.53270000000005,1418.4860483399307,17,0.4808817196950638,0.9756066747542536,0.001222809326243466,0.21952588953230168,0.8813510783569416,720.7592054147134,2893.6992547044374,3283.2537745333166,3.545187047887115,0.24216816643427724
DB01442,195.72000000000006,209.24500000000012,1.3136,53.71,1,4,6,1,0.45454545454545453,4,15,30,56.470400000000026,847.9506184593971,11,0.34728739785752033,0.9519619708178791,0.0014559015377715086,0.30621627343519714,0.7732720086942025,531.1293302690095,1341.2332384759402,1734.490869184356,2.9357678172560737,0.18170665719084264
DB01443,269.73600000000005,272.3879999999997,3.697300000000003,34.14,0,2,1,0,0.7777777777777778,2,20,44,77.10000000000004,1438.2814012622903,18,0.5690006560365912,0.9849411335981244,0.0016318197733726793,0.17289003252484403,0.8948750816857116,548.3908801007877,2838.459374778433,3171.9057026725054,3.4697785072844125,0.24082746538811273
DB01444,242.75200000000007,263.4309999999999,4.191400000000003,3.24,0,3,7,2,0.2857142857142857,3,17,34,78.86600000000004,1049.160604334368,14,0.1461329417627206,0.8672651526107769,0.0007347598322821057,0.49784651758047466,0.7853312763832909,1068.827175737294,1686.0284857154486,2146.9009785019193,3.050193806050719,0.4658448098384802
DB01445,199.79200000000006,204.2730000000001,1.9776000000000002,39.26,2,2,6,2,0.3333333333333333,3,15,31,62.221500000000034,1004.9813861770149,12,0.39466882172453766,0.9620621778407233,0.001515072246919676,0.2728302878500925,0.7932449284593659,523.5690443621604,1522.2594691055658,1919.0283032279656,3.115252639975119,0.18587162367583046
DB01446,174.85600000000005,174.2470000000001,2.0575999999999994,41.81,2,1,4,2,0.2727272727272727,2,13,27,55.652100000000026,912.6401462296159,11,0.4204059030791304,0.9668710991120939,0.002632222507973779,0.2552651125825297,0.8274668660573478,314.3605312813436,1019.030454259181,1231.506053063588,2.7129220500385007,0.19108078202670506
DB01447,168.10400000000004,176.21900000000008,1.4611,47.61,1,3,2,1,0.3,3,13,25,51.352400000000024,732.2383838229434,10,0.416084231824585,0.9661277059028653,0.0026774343711341033,0.2580644413453094,0.8225016098222582,307.1976735227554,979.0987851287376,1190.3913298605214,2.6509056293561746,0.17529510025162048
DB01450,390.6160000000001,413.55799999999954,3.387600000000001,62.160000000000004,2,5,10,1,0.76,5,30,65,113.98560000000006,2245.893757289841,25,0.20234849646185252,0.900210105370336,0.0003644563246652775,0.4354558142787033,0.7406839139382608,2032.2981488070395,3456.8158187100335,4667.0593942427295,3.5041431679678414,0.3198683436887658
DB01451,286.02400000000006,286.41499999999945,3.9433000000000034,34.14,0,2,2,0,0.7894736842105263,2,21,47,81.64700000000005,1534.484516098931,19,0.5323129357762907,0.9813826398596789,0.0014500446997540329,0.1920627870828909,0.9082115721414658,626.3335001297016,2961.757149718756,3261.0872186259962,3.4578515542785935,0.3044193990960622
DB01452,330.16800000000006,369.4169999999997,1.9885999999999997,65.07000000000001,0,6,5,1,0.5238095238095238,6,27,50,96.76800000000006,1799.3041451577535,21,0.21261890869597125,0.9060094716149819,0.00044269617923433426,0.4232574126272821,0.7493161922230525,1692.6195150792428,2996.538683277524,3999.0310023695984,3.429187236025439,0.30761307604681176
DB01453,346.5520000000001,352.47799999999955,3.627600000000003,43.78,1,3,8,2,0.4090909090909091,4,26,54,105.08280000000005,1803.9851358944495,22,0.6155133031760754,0.9885856814807302,0.0008510266650786644,0.15065971714854695,0.918863217359861,1079.7114298115748,6585.085495937079,7166.556862356277,4.586795647615601,0.17974140392643081
DB01454,186.41600000000005,193.24600000000012,1.5656999999999994,30.490000000000002,1,3,5,1,0.45454545454545453,3,14,29,54.79070000000004,831.2673876084862,11,0.620973046503024,0.9889651569218874,0.0035256305641972693,0.14814829865532264,0.9221180372042213,261.5469829903103,1627.9443826272102,1765.440341632391,3.0751717673925016,0.1772430458981653
DB01455,281.14400000000006,276.4199999999996,3.2809000000000026,40.46,2,2,3,0,0.8888888888888888,2,20,48,79.09960000000004,1482.368019988084,18,0.596980077388047,0.9872482574140654,0.0016656878089976285,0.15918818496638196,0.8981174647208904,539.1871513194037,3042.0184604487363,3387.105339716459,3.5502916577390646,0.2076644835080906
DB01456,286.5200000000001,286.41499999999945,4.087400000000003,34.14,0,2,2,0,0.7894736842105263,2,21,47,81.71700000000004,1530.4845160989312,19,0.484526163502503,0.9756119013784155,0.0013795477939173685,0.21950266032281482,0.9318963047299587,675.5085317368691,2867.864579014027,3077.45031765639,3.3997198079082556,0.3585109123038579
DB01458,249.12000000000006,255.38300000000015,2.7071000000000005,44.480000000000004,1,4,11,1,0.5384615384615384,4,17,38,73.31940000000004,1026.1475660935494,13,0.4076296924055308,0.9645139379722911,0.0010384152345971022,0.2640319364341808,0.80376918654933,774.0344707685138,2356.3250163331695,2931.594114038053,3.4450482904846527,0.10728969139112811
